$ kubectl -n fraud-platform get events --sort-by=.metadata.creationTimestamp
LAST SEEN   TYPE      REASON                         OBJECT                                    MESSAGE
18m         Warning   Failed                         pod/transaction-api-6fdb975c76-5fz7v      Failed to pull image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest": failed to pull and unpack image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest": failed to resolve reference "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
18m         Normal    SuccessfulCreate               replicaset/transaction-api-6fdb975c76     Created pod: transaction-api-6fdb975c76-5fz7v
18m         Warning   Failed                         pod/transaction-api-6fdb975c76-5fz7v      Error: ErrImagePull
18m         Normal    AllocIPSucceed                 pod/transaction-api-6fdb975c76-5fz7v      Alloc IP 10.94.68.96/16 took 45.347674ms
18m         Normal    Scheduled                      pod/transaction-api-6fdb975c76-5fz7v      Successfully assigned fraud-platform/transaction-api-6fdb975c76-5fz7v to cn-hangzhou.10.94.68.56
18m         Normal    BackOff                        pod/transaction-api-6fdb975c76-5fz7v      Back-off pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/transaction-api:latest"
18m         Warning   Failed                         pod/transaction-api-6fdb975c76-5fz7v      Error: ImagePullBackOff
18m         Normal    SuccessfulCreate               replicaset/fraud-processor-7c5997f8b7     Created pod: fraud-processor-7c5997f8b7-p8jbn
18m         Normal    Scheduled                      pod/fraud-processor-7c5997f8b7-p8jbn      Successfully assigned fraud-platform/fraud-processor-7c5997f8b7-p8jbn to cn-hangzhou.10.94.68.56
18m         Normal    AllocIPSucceed                 pod/fraud-processor-7c5997f8b7-p8jbn      Alloc IP 10.94.68.100/16 took 41.408715ms
18m         Warning   Failed                         pod/fraud-processor-7c5997f8b7-p8jbn      Error: ImagePullBackOff
18m         Normal    Pulling                        pod/fraud-processor-7c5997f8b7-p8jbn      Pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest"
18m         Warning   Failed                         pod/fraud-processor-7c5997f8b7-p8jbn      Failed to pull image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest": failed to pull and unpack image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest": failed to resolve reference "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
18m         Normal    BackOff                        pod/fraud-processor-7c5997f8b7-p8jbn      Back-off pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/fraud-processor:latest"
18m         Warning   Failed                         pod/fraud-processor-7c5997f8b7-p8jbn      Error: ErrImagePull
18m         Normal    AllocIPSucceed                 pod/alert-handler-65f7949bb7-cxw8f        Alloc IP 10.94.68.80/16 took 40.588118ms
18m         Normal    Scheduled                      pod/alert-handler-65f7949bb7-cxw8f        Successfully assigned fraud-platform/alert-handler-65f7949bb7-cxw8f to cn-hangzhou.10.94.68.55
18m         Normal    SuccessfulCreate               replicaset/alert-handler-65f7949bb7       Created pod: alert-handler-65f7949bb7-cxw8f
18m         Normal    Pulling                        pod/alert-handler-65f7949bb7-cxw8f        Pulling image "registry.cn-hangzhou.aliyuncs.com/your-namespace/alert-handler:latest"
